#"+EI TIC Scan Mix_Terpene.D "
#Point,X(Minutes),Y(Counts)
231,4.383,0.0587470539569096
232,4.386,0.100113322719467
233,4.389,0.0643089052191022
234,4.393,0.0955943185689357
235,4.396,0.102546632646676
236,4.400,0.107413252501095
237,4.403,0.104979942573886
238,4.407,0.0924657772339523
239,4.410,0.0611803638841188
240,4.413,0.0681326779618596
241,4.417,0.0778659176706967
242,4.420,0.0740421449279393
243,4.424,0.0723040664085041
244,4.427,0.0573565911413614
245,4.431,0.0500566613597336
246,4.434,0.0580518225491355
247,4.437,0.0764754548551485
248,4.441,0.0726516821123911
249,4.444,0.0611803638841188
250,4.448,0.0785611490784708
251,4.451,0.0608327481802318
252,4.455,0.0858610788600986
253,4.458,0.0597899010685707
254,4.461,0.0848182317484375
255,4.465,0.0556185126219262
256,4.468,0.0552708969180392
257,4.472,0.0754326077434874
258,4.475,0.0347615703887039
259,4.479,0.0667422151463114
260,4.482,0.0455376572092021
261,4.485,0.0549232812141521
262,4.489,0.0747373763357133
263,4.492,0.111932256651626
264,4.496,0.0650041366268762
265,4.499,0.0869039259717597
266,4.503,0.0577042068452484
267,4.506,0.0684802936657466
268,4.509,0.0371948803159131
269,4.513,0.0389329588353483
270,4.516,0.0344139546848168
271,4.520,0.0729992978162781
272,4.523,0.0378901117236872
273,4.527,0.0417138844664447
274,4.530,0.0559661283258132
275,4.533,0.0479709671364114
276,4.537,0.0344139546848168
277,4.540,0.0465805043208632
278,4.544,0.0636136738113281
279,4.547,0.0695231407774078
280,4.551,0.0646565209229892
281,4.554,0.0622232109957799
282,4.557,0.0524899712869429
283,4.561,0.0368472646120261
284,4.564,0.0594422853646836
285,4.568,0.0597899010685707
286,4.571,0.0615279795880059
287,4.575,0.0566613597335873
288,4.578,0.0660469837385374
289,4.581,0.0570089754374744
290,4.585,0.062570826699667
291,4.588,0.0500566613597336
292,4.592,0.0396281902431224
293,4.595,0.0472757357286373
294,4.599,0.026766409199302
295,4.602,0.0976800127922579
296,4.605,0.0785611490784708
297,4.609,0.071956450704617
298,4.612,0.0844706160445504
299,4.616,0.07160883500073
300,4.619,0.0851658474523245
301,4.623,0.0775183019668096
302,4.626,0.080299227597906
303,4.629,0.0375424960198002
304,4.633,0.0723040664085041
305,4.636,0.0337187232770428
306,4.640,0.0465805043208632
307,4.643,0.0643089052191022
308,4.647,0.0667422151463114
309,4.650,0.0347615703887039
310,4.653,0.0681326779618596
311,4.657,0.0587470539569096
312,4.660,0.045190041505315
313,4.664,0.0723040664085041
314,4.667,0.0834277689328893
315,4.671,0.0723040664085041
316,4.674,0.0834277689328893
317,4.677,0.0709136035929559
318,4.681,0.10915133102053
319,4.684,0.134527277404284
320,4.688,0.131398736069301
321,4.691,0.171722157720197
322,4.695,0.155731835341393
323,4.698,0.15851276097249
324,4.701,0.162336533715247
325,4.705,0.172765004831858
326,4.708,0.112627488059401
327,4.712,0.140784360074251
328,4.715,0.0945514714572745
329,4.719,0.080646843301793
330,4.722,0.120275033544915
331,4.725,0.134527277404284
332,4.729,0.310073207867239
333,4.732,0.86278217704763
334,4.736,2.24073082725585
335,4.739,5.02548023109492
336,4.743,10.4489804431405
337,4.746,20.1474585815889
338,4.749,33.9053929100301
339,4.753,51.5131711590203
340,4.756,70.0202312339662
341,4.760,86.3446123042055
342,4.763,96.0173668805662
343,4.767,95.9773910746192
344,4.770,84.6816187768099
345,4.773,69.3187427435222
346,4.777,50.8867676606158
347,4.780,34.3604218664182
348,4.784,21.0481308703602
349,4.787,12.1258785986916
350,4.791,6.56089879516397
351,4.794,3.31069196382016
352,4.797,1.80134457754263
353,4.801,0.948990871611616
354,4.804,0.519337861607236
355,4.808,0.346920472479265
356,4.811,0.262449856434714
357,4.815,0.207178959516675
358,4.818,0.167550769273553
359,4.821,0.140436744370364
360,4.825,0.173807851943519
361,4.828,0.16198891801136
362,4.832,0.128270194734317
363,4.835,0.104284711166112
364,4.839,0.129660657549865
365,4.842,0.120622649248802
366,4.845,0.119927417841028
367,4.849,0.122013112064351
368,4.852,0.111237025243852
369,4.856,0.119232186433254
370,4.859,0.148431905559766
371,4.863,0.126532116214882
372,4.866,0.108803715316643
373,4.869,0.142174822889799
374,4.873,0.108803715316643
375,4.876,0.080646843301793
376,4.880,0.119232186433254
377,4.883,0.0976800127922579
